Sale_ID,Product_Name,Category
P001,T-Shirt,Apparel
P002,Jeans,Apparel
P003,Jacket,Outerwear
P004,Sneakers,Shoes
P005,Sweater,Apparel
P006,Hat,Accessories
P007,Boots,Shoes
P008,Scarf,Accessories
P009,Gloves,Accessories
P010,Shorts,Apparel
P011,Hoodie,Apparel
P012,Socks,Apparel
P013,Blazer,Apparel
P013,Blazer,Apparel
P014,Chinos,Apparel
P014,Chinos,Apparel
P015,Running Shoes,Shoes
P016,Watch,Accessories
P017,Belt,Accessories
P018,Baseball Cap,Accessories
P019,Windbreaker,Outerwear
P020,Flip Flops,Shoes
P021,Cardigan,Apparel
P022,Cargo Pants,Apparel
P023,Tote Bag,Accessories
P024,Bomber Jacket,Outerwear
P025,Laptop Sleeve,Accessories
P026,Jeans,Apparel
P027,Sneakers,Shoes
P028,Tennis Shoes,Shoes
P029,Fleece Jacket,Outerwear
P030,Fedora,Accessories
P031,Cashmere Sweater,Apparel
P032,Sandals,Shoes
P033,Turtle Neck,Apparel
P034,Sweatpants,Apparel
P035,Puffer Jacket,Outerwear
P036,Peacoat,Outerwear
P037,Messenger Bag,Accessories
P038,Knitted Gloves,Accessories
P039,Windbreaker Jacket,Outerwear
P040,Breezy Pants,Apparel
P041,Canvas Shoes,Shoes
P042,Linen Shirt,Apparel
P043,Chukka Boots,Shoes
P044,Track Jacket,Outerwear
P045,Cargo Shorts,Apparel
P046,Running Shorts,Apparel
P047,Double-Breasted Coat,Outerwear
P048,Printed T-Shirt,Apparel
P049,Luxury Scarf,Accessories
P050,Leather Jacket,Outerwear
